#NAME	X5_S3	G3_S13	G4_S14	X14_S5	Gustavo_13_S11	G11_S18	G12_S19	G15_S20	X7_S4	X8_S22	Gustavo_9_S10	G6_S15	G10_S17	X16_S6	X17_S7	X19_S24
#CLASS: Group	Control	Control	Control	EAO	EAO	EAO	EAO	EAO	SHAM_Trat	SHAM_Trat	SHAM_Trat	SHAM_Trat	SHAM_Trat	EAO_Trat	EAO_Trat	EAO_Trat
ENSRNOG00000000001	1	0	2	0	5	5	0	13	1	1	0	0	3	4	2	0
ENSRNOG00000000007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000008	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000009	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	6
ENSRNOG00000000010	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0
ENSRNOG00000000012	540	19	478	39	336	557	647	712	405	272	569	674	839	344	315	81
ENSRNOG00000000017	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
ENSRNOG00000000021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000024	50	6	52	16	53	78	105	126	24	20	39	73	77	68	32	9
ENSRNOG00000000033	34	18	13	13	71	40	110	84	0	18	25	27	44	9	44	11
ENSRNOG00000000034	73	3	31	7	75	54	87	140	18	15	54	30	44	117	134	25
ENSRNOG00000000035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000036	1	0	1	0	2	4	6	10	2	7	5	2	5	5	5	4
ENSRNOG00000000041	5	1	8	2	5	3	7	9	0	7	6	3	6	2	2	1
ENSRNOG00000000042	3	6	14	3	15	0	24	16	0	6	0	4	2	0	0	0
ENSRNOG00000000043	132	0	33	10	88	55	86	120	44	99	240	54	77	11	373	208
ENSRNOG00000000044	102	11	51	0	61	50	50	76	45	30	108	73	50	59	41	36
ENSRNOG00000000047	125	0	65	7	70	125	82	166	65	44	74	51	84	130	43	0
ENSRNOG00000000048	206	0	23	39	50	88	171	167	0	0	83	0	144	0	0	27
ENSRNOG00000000053	17	19	12	5	16	10	9	3	16	18	15	13	15	45	23	21
ENSRNOG00000000054	48	12	0	10	67	36	36	108	12	24	24	12	12	0	24	0
ENSRNOG00000000055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000060	0	0	2	2	8	2	13	18	0	7	10	1	6	9	10	3
ENSRNOG00000000062	97	8	72	10	53	78	123	147	19	38	55	63	105	94	49	11
ENSRNOG00000000064	6573	298	10716	205	2268	5738	6387	6112	1857	3674	7068	9308	10392	1792	407	457
