EntrezID,logFC,baseMean,lfcSE,stat,P.Value,adj.P.Val,Symbols,Name
313770,-22.946,19.307,1.8069,-12.699,6.0273e-37,6.5028e-33,Mxra8,matrix remodeling associated 8
361945,5.322,252.28,0.58782,9.0538,1.3813e-19,7.4516e-16,Postn,periostin
287382,1.6566,689.79,0.22062,7.5088,5.9689e-14,2.1466e-10,Mfap4,microfibril associated protein 4
295461,21.977,23.241,3.3038,6.6519,2.894e-11,7.8059e-08,Sec24b,"""SEC24 homolog B, COPII coat complex component"""
315714,2.4337,197.64,0.38222,6.3674,1.9224e-10,4.1481e-07,Loxl1,lysyl oxidase-like 1
686539,2.4013,172.73,0.40419,5.941,2.8328e-09,5.0939e-06,Islr,immunoglobulin superfamily containing leucine-rich repeat
100911372,24.687,117.76,4.3762,5.6412,1.6889e-08,2.4636e-05,LOC100911372,40S ribosomal protein S6-like
24602,4.3324,4655.8,0.77022,5.6249,1.856e-08,2.4636e-05,Nppa,natriuretic peptide A
315761,2.8631,149.55,0.5106,5.6073,2.0551e-08,2.4636e-05,Cilp,cartilage intermediate layer protein
298875,24.337,62.263,4.3762,5.5612,2.6789e-08,2.8902e-05,Laptm4a,lysosomal protein transmembrane 4 alpha
290655,2.5079,206.27,0.45406,5.5234,3.3249e-08,3.2611e-05,Crlf1,cytokine receptor-like factor 1
304104,20.844,13.753,3.8024,5.4818,4.2108e-08,3.7858e-05,Urb1,URB1 ribosome biogenesis homolog
298012,23.911,42.361,4.3764,5.4637,4.6627e-08,3.8697e-05,Rad23b,"""RAD23 homolog B, nucleotide excision repair protein"""
81822,23.788,53.04,4.3764,5.4354,5.4662e-08,4.2125e-05,Actb,"""actin, beta"""
81732,20.938,15.684,3.9552,5.2938,1.1981e-07,8.1606e-05,Actr3,actin related protein 3
84014,-22.842,29.945,4.3164,-5.2919,1.2102e-07,8.1606e-05,Ralbp1,ralA binding protein 1
361684,2.6005,112.82,0.49306,5.2742,1.3333e-07,8.4617e-05,Nap1l4,nucleosome assembly protein 1-like 4
294312,2.5956,416.32,0.49673,5.2254,1.7378e-07,0.00010416,Pi16,peptidase inhibitor 16
362980,-22.071,15.414,4.2885,-5.1465,2.6544e-07,0.00015073,Tubgcp6,"""tubulin, gamma complex associated protein 6"""
304021,2.5668,37.721,0.51389,4.9947,5.8916e-07,0.00031782,Col8a1,collagen type VIII alpha 1 chain
59106,8.192,68.037,1.6445,4.9816,6.3065e-07,0.00031967,Ltbp2,latent transforming growth factor beta binding protein 2
306765,-5.0385,24.326,1.0127,-4.9752,6.5184e-07,0.00031967,Zfp346,zinc finger protein 346
25086,-7.7682,134.14,1.5747,-4.9333,8.0861e-07,0.00037931,Cyp2e1,"""cytochrome P450, family 2, subfamily e, polypeptide 1"""
25304,3.1841,17.797,0.66138,4.8144,1.4766e-06,0.00065571,Comp,cartilage oligomeric matrix protein
54133,0.83624,386.19,0.17402,4.8054,1.5443e-06,0.00065571,Pdlim1,PDZ and LIM domain 1
84400,1.2784,126.49,0.26663,4.7945,1.6312e-06,0.00065571,Prelp,proline and arginine rich end leucine rich repeat protein
302996,-3.7989,8.7597,0.79346,-4.7878,1.6864e-06,0.00065571,Ccdc78,coiled-coil domain containing 78
156826,-1.2643,106.24,0.26418,-4.786,1.7017e-06,0.00065571,Eya2,EYA transcriptional coactivator and phosphatase 2
681913,-2.0506,137.71,0.44857,-4.5713,4.8462e-06,0.001803,Gstz1,glutathione S-transferase zeta 1
140473,2.0755,84.542,0.46421,4.4711,7.7805e-06,0.0027981,Ackr2,atypical chemokine receptor 2
293484,1.279,95.232,0.28655,4.4634,8.0665e-06,0.0028074,Eif3c,"""eukaryotic translation initiation factor 3, subunit C"""
309565,6.2105,50.893,1.3989,4.4396,9.0144e-06,0.0030323,Med23,mediator complex subunit 23
310694,4.303,17.004,0.97096,4.4317,9.3513e-06,0.0030323,Fcrl2,Fc receptor-like 2
24943,-2.5832,51.105,0.58352,-4.427,9.5558e-06,0.0030323,Plp1,proteolipid protein 1
171100,1.4113,229.96,0.32035,4.4054,1.0557e-05,0.0032542,Angptl2,angiopoietin-like 2
100363484,-2.4975,80.321,0.56879,-4.3909,1.1289e-05,0.0033832,Ddit4l,DNA-damage-inducible transcript 4-like
29220,4.0443,199.12,0.92386,4.3776,1.2001e-05,0.0034995,Thbs4,thrombospondin 4
316087,1.2956,137.52,0.30194,4.2908,1.7804e-05,0.0049311,Zbtb47,zinc finger and BTB domain containing 47
25741,1.1185,206.84,0.26077,4.2893,1.7922e-05,0.0049311,Pfkl,"""phosphofructokinase, liver type"""
314981,1.5851,120.11,0.36992,4.2849,1.8282e-05,0.0049311,Col14a1,collagen type XIV alpha 1 chain
498533,2.578,41.551,0.60409,4.2676,1.976e-05,0.0050864,Fam167a,"""family with sequence similarity 167, member A"""
60416,1.5052,80.397,0.35282,4.2661,1.9891e-05,0.0050864,Pfkp,"""phosphofructokinase, platelet"""
291760,6.825,16.592,1.6017,4.261,2.0349e-05,0.0050864,Dsc2,desmocollin 2
24832,2.4259,46.004,0.5699,4.2567,2.0744e-05,0.0050864,Thy1,Thy-1 cell surface antigen
293669,1.6905,143.28,0.39766,4.2511,2.1273e-05,0.0051004,Cd248,CD248 molecule
24450,-1.7518,97.065,0.41577,-4.2133,2.5166e-05,0.0058058,Hmgcs2,3-hydroxy-3-methylglutaryl-CoA synthase 2
63847,1.3846,161,0.32872,4.2122,2.5292e-05,0.0058058,Fxyd6,FXYD domain-containing ion transport regulator 6
252917,1.4081,335.12,0.33684,4.1802,2.9123e-05,0.0065461,Nr1d1,"""nuclear receptor subfamily 1, group D, member 1"""
89813,-1.8225,1093.7,0.4398,-4.1439,3.4152e-05,0.0075198,Pdk4,pyruvate dehydrogenase kinase 4
690899,1.2293,118.95,0.29753,4.1319,3.5984e-05,0.0076375,Vsir,V-set immunoregulatory receptor
685834,-7.8647,18.452,1.9039,-4.1309,3.6133e-05,0.0076375,Znf740,zinc finger protein 740
300455,-2.6364,18.347,0.63901,-4.1258,3.695e-05,0.0076375,Bmper,BMP-binding endothelial regulator
361624,2.2603,49.808,0.54831,4.1223,3.7519e-05,0.0076375,Akip1,A-kinase interacting protein 1
25314,1.6977,862.86,0.41462,4.0945,4.2305e-05,0.0084525,Emp1,epithelial membrane protein 1
100910729,5.8708,6.3945,1.4358,4.089,4.3324e-05,0.0084986,Islr2,immunoglobulin superfamily containing leucine-rich repeat 2
64364,-2.0853,62.053,0.51237,-4.0699,4.704e-05,0.0090628,Pllp,plasmolipin
114523,0.82612,415.87,0.20361,4.0574,4.9627e-05,0.0093935,Ntn1,netrin 1
362339,0.9271,191.1,0.2303,4.0257,5.6808e-05,0.010567,Creb3l2,cAMP responsive element binding protein 3-like 2
308787,1.0026,51.155,0.24964,4.0161,5.9179e-05,0.010822,Adamtsl3,ADAMTS-like 3
25443,-3.0529,7.9074,0.76372,-3.9973,6.4059e-05,0.011519,Fgf10,fibroblast growth factor 10
64529,0.74716,1563.7,0.18753,3.9842,6.7705e-05,0.011975,Ctsb,cathepsin B
311676,1.6446,127.78,0.41442,3.9686,7.2307e-05,0.012583,Pmepa1,"""prostate transmembrane protein, androgen induced 1"""
287269,-2.6902,207.81,0.68059,-3.9528,7.7248e-05,0.013031,Clk4,CDC-like kinase 4
312491,8.0097,47.581,2.0264,3.9526,7.7301e-05,0.013031,Zfp638,zinc finger protein 638
114122,1.7916,79.851,0.45417,3.9448,7.986e-05,0.013256,Vcan,versican
29469,1.6794,97.433,0.42646,3.9379,8.2198e-05,0.013437,Lbp,lipopolysaccharide binding protein
303638,-1.3942,572.56,0.3558,-3.9186,8.9071e-05,0.014343,Abca8a,"""ATP-binding cassette, subfamily A (ABC1), member 8a"""
306204,-6.1258,148.26,1.5665,-3.9105,9.2106e-05,0.014529,Flnb,filamin B
25615,1.7633,99.821,0.45117,3.9084,9.2918e-05,0.014529,Sdc2,syndecan 2
100912228,-2.0036,167.9,0.51476,-3.8923,9.9284e-05,0.015303,LOC100912228,pro-neuropeptide Y-like
81653,1.3212,186.89,0.34035,3.8819,0.00010365,0.015751,Dbn1,drebrin 1
246047,-6.3074,56.968,1.6279,-3.8746,0.00010681,0.016005,Calcoco1,calcium binding and coiled coil domain 1
113955,1.522,71.554,0.39545,3.8487,0.00011874,0.017549,Gpnmb,glycoprotein nmb
25211,1.2523,681.44,0.32659,3.8345,0.00012584,0.018122,Lyz2,lysozyme 2
81686,1.0415,493.7,0.27164,3.8342,0.00012598,0.018122,Mmp2,matrix metallopeptidase 2
497757,-1.0804,195.49,0.28278,-3.8207,0.00013307,0.018891,Gucy1a1,guanylate cyclase 1 soluble subunit alpha 1
315137,4.9314,5.6097,1.2925,3.8155,0.00013588,0.01904,Apobec3,apolipoprotein B mRNA editing enzyme catalytic subunit 3
366140,2.189,16.273,0.5761,3.7996,0.0001449,0.020043,Fjx1,four-jointed box kinase 1
308873,-3.2579,50.447,0.8589,-3.7931,0.00014876,0.020316,Art1,ADP-ribosyltransferase 1
681665,-8.4382,29.019,2.2561,-3.7402,0.0001839,0.024801,Ints6l,integrator complex subunit 6 like
79431,1.3703,231.54,0.36675,3.7363,0.00018672,0.024871,Bhlhe40,"""basic helix-loop-helix family, member e40"""
29307,1.8655,50.336,0.50081,3.725,0.0001953,0.025696,Gpr182,G protein-coupled receptor 182
499856,1.701,123.39,0.45798,3.714,0.00020399,0.026516,Fibin,fin bud initiation factor homolog
296302,4.9175,94.474,1.3312,3.6939,0.00022082,0.028363,Eif2s2,eukaryotic translation initiation factor 2 subunit beta
117036,0.88303,995.59,0.23942,3.6883,0.00022579,0.02866,Lamc1,laminin subunit gamma 1
25112,1.4109,169.77,0.38409,3.6733,0.00023943,0.030037,Gadd45a,"""growth arrest and DNA-damage-inducible, alpha"""
362711,1.9726,95.688,0.54258,3.6357,0.00027726,0.034384,Tmem214,transmembrane protein 214
299858,1.0061,432.7,0.27798,3.6194,0.00029529,0.036042,Lrp1,LDL receptor related protein 1
501625,2.5273,180.51,0.69897,3.6157,0.00029954,0.036042,501625,NA
287526,1.4327,410.73,0.39635,3.6147,0.00030065,0.036042,Serpinf1,serpin family F member 1
680319,2.7928,71.177,0.77404,3.6081,0.00030846,0.036174,Tceal7,transcription elongation factor A like 7
301013,1.5792,108.26,0.43767,3.6081,0.00030846,0.036174,Shisa5,shisa family member 5
688047,5.4362,4.1841,1.5087,3.6033,0.00031422,0.036453,Lyc2,lysozyme C type 2
117030,0.61945,160.19,0.17216,3.5982,0.00032049,0.036784,Erp29,endoplasmic reticulum protein 29
290467,-3.3966,10.661,0.94481,-3.595,0.0003244,0.036842,Slitrk6,"""SLIT and NTRK-like family, member 6"""
294806,3.9442,4.6624,1.0997,3.5865,0.00033513,0.037664,C1qtnf3,C1q and TNF related 3
362634,1.2154,127.83,0.34162,3.5577,0.00037405,0.041604,C1qc,complement C1q C chain
362429,1.1759,171.29,0.33188,3.5432,0.00039528,0.042866,Mfap5,microfibril associated protein 5
362474,-1.9759,128.08,0.55765,-3.5432,0.0003953,0.042866,Adhfe1,"""alcohol dehydrogenase, iron containing, 1"""
292879,3.1893,25.882,0.90047,3.5419,0.00039732,0.042866,Mybpc2,myosin binding protein C2
499425,1.7876,17.844,0.50641,3.53,0.0004155,0.044385,Zfp365,zinc finger protein 365
362423,-1.5868,48.684,0.45234,-3.508,0.00045146,0.047569,Rassf4,Ras association domain family member 4
103693495,-1.1251,32.21,0.32088,-3.5064,0.00045413,0.047569,Oxld1,oxidoreductase-like domain containing 1
362799,0.60097,216.57,0.17177,3.4988,0.00046737,0.048485,Rapgef5,Rap guanine nucleotide exchange factor 5
304388,2.4065,22.796,0.6912,3.4816,0.00049836,0.051207,Cldn15,claudin 15
25658,-2.454,7.6134,0.70613,-3.4753,0.00051031,0.051941,Gckr,glucokinase regulator
56824,4.4421,17.189,1.2834,3.4612,0.00053775,0.053771,Ifit1,interferon-induced protein with tetratricopeptide repeats 1
290834,1.3206,98.494,0.38158,3.461,0.00053826,0.053771,Adam9,ADAM metallopeptidase domain 9
309167,6.0559,42.731,1.7532,3.4542,0.00055184,0.054622,Pcnx3,pecanex 3
294767,-1.0293,95.089,0.29907,-3.4415,0.0005784,0.056731,Mrps30,mitochondrial ribosomal protein S30
84595,0.79594,797.49,0.23189,3.4324,0.00059816,0.05814,Nucb1,nucleobindin 1
364594,1.7283,23.293,0.50417,3.428,0.00060806,0.058575,Tlr3,toll-like receptor 3
54249,-1.0133,57.625,0.29581,-3.4254,0.00061379,0.058603,Cfd,complement factor D
500446,6.8566,19.83,2.0056,3.4187,0.00062926,0.059373,Phf24,PHD finger protein 24
25333,1.231,4028,0.36025,3.4171,0.00063286,0.059373,Mgp,matrix Gla protein
300475,3.0441,8.2762,0.89408,3.4048,0.0006622,0.06159,Adamts8,"""ADAM metallopeptidase with thrombospondin type 1 motif, 8"""
366126,1.2667,26.1,0.37244,3.401,0.00067142,0.061914,Spi1,Spi-1 proto-oncogene
29175,1.4819,71.485,0.43616,3.3976,0.00067986,0.062161,Ctsk,cathepsin K
65027,2.9631,50.403,0.87521,3.3856,0.00071018,0.064388,Chd8,chromodomain helicase DNA binding protein 8
500354,-3.7699,11.373,1.117,-3.3751,0.00073782,0.066337,LOC500354,similar to C030030A07Rik protein
308843,1.2906,33.864,0.38334,3.3667,0.0007606,0.067299,Tsku,"""tsukushi, small leucine rich proteoglycan"""
501194,-2.4393,354.33,0.7246,-3.3664,0.00076144,0.067299,Ppip5k2,diphosphoinositol pentakisphosphate kinase 2
293692,0.65082,1260.6,0.19344,3.3643,0.00076724,0.067299,Ehd1,EH-domain containing 1
25285,1.0845,1200.6,0.32458,3.3414,0.00083353,0.071752,Igfbp5,insulin-like growth factor binding protein 5
94199,-1.6584,53.903,0.49635,-3.3411,0.00083446,0.071752,Dpep1,dipeptidase 1
295341,-2.5871,21.945,0.77459,-3.3399,0.00083797,0.071752,Ppm1j,"""protein phosphatase, Mg2+/Mn2+ dependent, 1J"""
298605,-1.44,250.01,0.43161,-3.3363,0.00084905,0.072129,Tmem82,transmembrane protein 82
315114,1.4519,24.533,0.4371,3.3216,0.00089493,0.075297,C1qtnf6,C1q and TNF related 6
306353,-1.4513,40.154,0.43745,-3.3175,0.00090812,0.075297,Rfxank,regulatory factor X-associated ankyrin-containing protein
84489,7.2551,18.022,2.1906,3.3119,0.0009265,0.075297,Fgfr3,fibroblast growth factor receptor 3
287059,2.7841,6.8798,0.84075,3.3115,0.00092811,0.075297,RGD1565166,similar to MGC45438 protein
252939,-1.7643,14.564,0.53301,-3.3101,0.0009327,0.075297,Gpr37l1,G protein-coupled receptor 37-like 1
313592,2.0581,33.689,0.62199,3.3089,0.00093658,0.075297,Col8a2,collagen type VIII alpha 2 chain
316736,1.1323,38.007,0.34221,3.3087,0.00093718,0.075297,Emilin2,elastin microfibril interfacer 2
360972,7.1054,19.921,2.1484,3.3072,0.00094218,0.075297,Thoc5,THO complex 5
360835,-2.7195,11.049,0.82281,-3.3051,0.00094927,0.075306,Cdh19,cadherin 19
171574,5.8767,8.3245,1.7796,3.3022,0.00095931,0.075448,Dnm3,dynamin 3
363684,2.0123,33.461,0.6097,3.3005,0.00096504,0.075448,Meox1,mesenchyme homeobox 1
287411,-2.0972,324.68,0.63708,-3.292,0.00099487,0.07722,Dhrs7c,dehydrogenase/reductase 7C
25704,-2.7211,20.131,0.82739,-3.2887,0.0010064,0.077554,Il2ra,interleukin 2 receptor subunit alpha
81005,1.7177,22.542,0.52418,3.2768,0.0010498,0.079838,Nptxr,neuronal pentraxin receptor
266803,-3.3848,10.916,1.033,-3.2766,0.0010508,0.079838,Sostdc1,sclerostin domain containing 1
24504,1.7967,38.77,0.54868,3.2746,0.0010582,0.079839,Inha,inhibin subunit alpha
81523,-2.2686,29.176,0.69424,-3.2677,0.0010842,0.081234,Myoc,myocilin
500359,3.7069,6.283,1.1356,3.2643,0.0010972,0.081402,RGD1561551,similar to Hypothetical protein MGC75664
499124,-1.6477,64.177,0.50518,-3.2616,0.001108,0.081402,Zfp14,ZFP14 zinc finger protein
362264,-1.5044,212.83,0.46128,-3.2613,0.0011091,0.081402,Srsf6,serine and arginine rich splicing factor 6
25353,3.1044,76.945,0.95258,3.259,0.0011182,0.081514,Spp1,secreted phosphoprotein 1
298653,-1.8646,52.24,0.57308,-3.2537,0.001139,0.082475,Nmnat1,nicotinamide nucleotide adenylyltransferase 1
50594,1.2271,306.11,0.37749,3.2508,0.0011508,0.082773,Nbl1,"""NBL1, DAN family BMP antagonist"""
25482,1.3042,93.838,0.40167,3.247,0.0011665,0.083345,Mras,muscle RAS oncogene homolog
25438,-2.0158,525.75,0.62316,-3.2347,0.0012176,0.086426,Eno3,enolase 3
64032,1.1705,929.96,0.36287,3.2256,0.0012572,0.088656,Ccn2,cellular communication network factor 2
298805,-6.7905,49.378,2.1068,-3.2231,0.0012681,0.088843,Slc4a1ap,solute carrier family 4 member 1 adaptor protein
25641,1.4603,305.17,0.45396,3.2168,0.0012965,0.090243,Igfbp6,insulin-like growth factor binding protein 6
25125,0.46705,378.77,0.14534,3.2134,0.0013117,0.090717,Stat3,signal transducer and activator of transcription 3
64157,3.1032,25.954,0.9668,3.2097,0.0013285,0.091296,Ddah1,dimethylarginine dimethylaminohydrolase 1
299195,-0.9507,109.31,0.29658,-3.2055,0.0013483,0.091555,Coq6,coenzyme Q6 monooxygenase
85385,0.57707,226.05,0.18004,3.2053,0.0013493,0.091555,Shc1,SHC adaptor protein 1
493574,6.154,9.4929,1.9276,3.1927,0.0014097,0.095057,Crppa,CDP-L-ribitol pyrophosphorylase A
25670,-2.3201,43.915,0.72742,-3.1895,0.001425,0.095493,Il15,interleukin 15
298566,1.0157,195.41,0.31927,3.1813,0.0014659,0.097628,C1qa,complement C1q A chain
63878,-1.7086,41.025,0.53809,-3.1753,0.0014968,0.099075,Stc2,stanniocalcin 2
